15:43:24 09-07-2021

Description:,"Cyclosporin CPMG experiment.
Iteration 1 (vc = 2)"

Experiment Info:
Sweep Width (Hz),5000
Sweep Width (ppm),9.99736
Transmitter Offset (Hz),2250.59
Transmitter Offset (ppm),4.49998
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,3831.03 - 3751.07
Filter region (ppm):,7.66004 - 7.50016

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,5398.3,1.5247,3752.4,7.5028,17.198,218610000,0.11688
,±80.985,±0.012385,±0.02859,±5.7164e-05,±0.2137,-,-
2,24795,0.62954,3761.2,7.5204,105.6,775840000,0.41481
,±194.33,±0.0072571,±0.16253,±0.00032497,±1.0974,-,-
3,22434,-0.44074,3785.9,7.5698,10.078,970430000,0.51885
,±36.69,±0.0017341,±0.0027502,±5.499e-06,±0.016534,-,-
4,22621,0.27579,3794.6,7.5872,10.41,974730000,0.52115
,±38.47,±0.0018372,±0.0029334,±5.8653e-06,±0.017579,-,-
5,30516,-0.32936,3815.1,7.6282,117.24,939100000,0.5021
,±199.9,±0.0077799,±0.17752,±0.00035495,±0.85182,-,-
6,6878.4,-1.3945,3829.7,7.6575,19.908,273360000,0.14616
,±76.479,±0.0088068,±0.025642,±5.127e-05,±0.19748,-,-
