15:44:18 09-07-2021

Description:,"Cyclosporin CPMG experiment.
Iteration 10 (vc = 64)"

Experiment Info:
Sweep Width (Hz),5000
Sweep Width (ppm),9.99736
Transmitter Offset (Hz),2250.59
Transmitter Offset (ppm),4.49998
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,3831.03 - 3751.07
Filter region (ppm):,7.66004 - 7.50016

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,4683.3,6.2323,3801.4,7.6008,140.1,140040000,1
,±64.317,±0.016368,±0.89644,±0.0017924,±3.0522,-,-
