16:59:37 28-05-2021

Description:,50mM cyclosporin in Benzene-d6 (Example 2)

Experiment Info:
Sweep Width (Hz),5494.51
Sweep Width (ppm),10.9861
Transmitter Offset (Hz),2249.21
Transmitter Offset (ppm),4.49722
Transmitter Frequency (MHz),500.132
Basic Frequency (MHz),500.13
Nucleus,1H
Filter region (Hz):,2770.79 - 2710.76
Filter region (ppm):,5.54011 - 5.42008

Result:
Osc.,Amp.,Phase (rad),Freq. (Hz),Freq. (ppm),Damp. (s⁻¹),Integ.,Norm. Integ.
1,32946,0.035994,2719.8,5.4382,9.2896,2910300000,0.35232
,±227.44,±0.0037237,±0.0022143,±4.4275e-06,±0.065479,-,-
2,34677,0.018184,2725.3,5.4491,9.3051,3062700000,0.37076
,±247.94,±0.005019,±0.0042734,±8.5446e-06,±0.066331,-,-
3,33343,0.013125,2728.4,5.4554,9.0571,2954200000,0.35762
,±488.05,±0.0058439,±0.0081663,±1.6328e-05,±0.10246,-,-
4,30111,-0.0063619,2733.8,5.4662,8.9072,2673000000,0.32359
,±373.37,±0.0085581,±0.011636,±2.3266e-05,±0.091278,-,-
5,31348,0.019174,2743.1,5.4848,7.6154,2833800000,0.34305
,±200.84,±0.016322,±0.017966,±3.5923e-05,±0.051688,-,-
6,33581,-0.0077107,2748.6,5.4957,7.6701,3033200000,0.36719
,±386.73,±0.00558,±0.0069105,±1.3817e-05,±0.074778,-,-
7,32941,-0.0080134,2753.5,5.5056,7.6312,2977100000,0.3604
,±206.77,±0.0062978,±0.0071975,±1.4391e-05,±0.048967,-,-
8,32189,-0.027176,2758.9,5.5164,7.9408,2895800000,0.35056
,±163.41,±0.0040762,±0.0061318,±1.226e-05,±0.046359,-,-
9,2103.4,0.0017182,2766.4,5.5313,9.0234,186440000,0.02257
,±122.25,±0.0043642,±0.095071,±0.00019009,±0.56775,-,-
